Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36698976,Star Wars: Thrawn,Timothy Zahn,"Zahn, Timothy",,"=""0345542843""","=""""",0,4.30,Del Rey,Kindle Edition,488,2017,2017,2023/12/29,2023/04/16,,,read,,,,1,0
23211076,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.06,Tor Books,Kindle Edition,401,2015,2015,,2023/03/26,currently-reading,currently-reading (#10),currently-reading,,,,1,0
83668117,"The Atlas Complex (The Atlas, #3)",Olivie Blake,"Blake, Olivie",,"=""1250855136""","=""9781250855138""",0,4.04,Tor Books,Hardcover,496,2024,2024,,2023/12/27,to-read,to-read (#31),to-read,,,,0,0
150247395,"The Tainted Cup (Shadow of the Leviathan, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1984820702""","=""9781984820709""",0,4.38,Del Rey,Hardcover,432,2024,2024,,2023/12/27,to-read,to-read (#30),to-read,,,,0,0
61062194,Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,Tom Felton,"Felton, Tom",,"=""1538741369""","=""9781538741368""",4,4.31,Grand Central Publishing,Hardcover,288,2022,2022,2023/01/01,2022/12/24,,,read,,,,1,0
13537029,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.34,HarperCollins,Kindle Edition,351,2012,2011,2023/12/26,2023/12/26,,,read,,,,1,0
63045698,"Fall (Detective Harriet Foster, #2)",Tracy    Clark,"Clark, Tracy",,"=""1662509529""","=""9781662509520""",0,4.39,Thomas Mercer,Kindle Edition,345,2023,2023,,2023/12/15,currently-reading,currently-reading (#9),currently-reading,,,,1,0
11872402,Darth Plagueis,James Luceno,"Luceno, James",,"=""""","=""""",4,4.15,LucasBooks ,Kindle Edition,498,2012,2012,2023/12/15,2023/12/15,,,read,,,,1,0
61843824,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.52,Houghton Mifflin Harcourt,Kindle Edition,1209,2022,1955,,2023/06/11,currently-reading,currently-reading (#8),currently-reading,,,,1,0
36398855,"Thrawn: Alliances (Star Wars: Thrawn, #2)",Timothy Zahn,"Zahn, Timothy",,"=""0525480730""","=""""",0,3.95,Random House Worlds,Kindle Edition,483,2018,2018,,2022/12/24,currently-reading,currently-reading (#7),currently-reading,,,,1,0
